message_id,date,sender,to,subject,body,intent
,,demo@example.com,recipient@example.com,What Is the Policy,What is the company policy on remote work for employees in the first 90 days? I could not find this in the handbook.,inquiry
,,demo@example.com,recipient@example.com,Information Needed,Do you know if there is a budget allocated for team building events this quarter? I would like to organize something for our group.,inquiry
,,demo@example.com,recipient@example.com,Technical Question,Can you tell me what version of Python we are standardizing on for new projects? I want to make sure my environment is correct.,inquiry
,,demo@example.com,recipient@example.com,Clarification Needed,Is there a minimum notice period for taking vacation days? I want to plan a trip but am not sure about the process.,inquiry
,,demo@example.com,recipient@example.com,Process Question,How do I submit a reimbursement claim for the conference I attended last month? I cannot find the form on the intranet.,inquiry
,,demo@example.com,recipient@example.com,Re: Budget Approval,The budget for Project Beta has been approved. You are authorized to proceed with vendor selection and initial procurement.,approval
,,demo@example.com,recipient@example.com,Go Ahead on Hiring,Go ahead and extend the offer to the candidate. I have reviewed the compensation package and it looks appropriate.,approval
,,demo@example.com,recipient@example.com,Travel Request Approved,Your travel request to the San Francisco conference has been approved. Please book through the corporate travel portal.,approval
,,demo@example.com,recipient@example.com,Signed Off on Design,I have signed off on the new website design. The team can proceed with development. Great work on the mockups.,approval
,,demo@example.com,recipient@example.com,I Agree with the Plan,I agree with the proposed timeline and resource allocation. Let us move forward with Phase 2 as outlined in your document.,approval
,,demo@example.com,recipient@example.com,Expense Report Approved,Your expense report for the client dinner has been approved and will be reimbursed in the next pay cycle.,approval
,,demo@example.com,recipient@example.com,Green Light for Launch,"After reviewing the QA results, I am giving the green light for the product launch next Monday. All critical bugs have been resolved.",approval
,,demo@example.com,recipient@example.com,Authorization Granted,You are authorized to access the production database for the migration project. Your credentials will be sent separately.,approval
,,demo@example.com,recipient@example.com,Re: Budget Increase,"Unfortunately, the request for a budget increase has been denied. We need to work within the current allocation for this quarter.",rejection
,,demo@example.com,recipient@example.com,Cannot Approve Overtime,I cannot approve the overtime request at this time. We have already exceeded our overtime budget for the month.,rejection
,,demo@example.com,recipient@example.com,Proposal Declined,"After careful review, the committee has declined the proposal for the new office expansion. The cost analysis does not support it.",rejection
,,demo@example.com,recipient@example.com,Not Possible This Quarter,Expanding the team is not possible this quarter due to the hiring freeze. We can revisit this in Q2 when the freeze is lifted.,rejection
,,demo@example.com,recipient@example.com,Unable to Approve Purchase,I am unable to approve the software purchase. The vendor does not meet our security compliance requirements.,rejection
,,demo@example.com,recipient@example.com,Request Denied,Your request to transfer to the London office has been denied due to current staffing needs. We can discuss alternatives.,rejection
,,demo@example.com,recipient@example.com,Will Not Proceed,We will not proceed with the proposed marketing campaign. The projected ROI does not justify the expenditure at this time.,rejection
,,demo@example.com,recipient@example.com,Not Authorized,The third party vendor is not authorized to access our customer data. Please find an alternative solution that meets compliance.,rejection
